version,type,counts,resets,time
1.1.0,build,741,6,0.046694
1.1.0,build,11117,98,0.61119
1.1.0,build,2350,21,0.129055
1.1.0,build,5820,55,0.342891
1.1.0,build,832,7,0.04379
1.1.0,build,1013,8,0.063179
1.1.0,build,3714,33,0.204091
1.1.0,build,5248,47,0.300289
1.1.0,build,4424,39,0.254388
1.1.0,build,2986,27,0.161723
1.1.0,build,1827,16,0.101246
1.1.0,build,2753,28,0.15066
1.1.0,build,451,4,0.024268
1.1.0,build,2581,24,0.143192
1.1.0,build,2309,20,0.135812
1.1.0,build,10540,93,0.627292
1.1.0,build,746,7,0.048196
1.1.0,build,240,1,0.014786
1.1.0,build,436,3,0.029733
1.1.0,build,6125,54,0.339367
1.1.0,build,295,2,0.020689
1.1.0,build,16036,143,0.929731
1.1.0,build,2768,25,0.158818
1.1.0,build,3527,32,0.212823
1.1.0,build,2631,24,0.146967
1.1.0,build,7058,61,0.402544
1.1.0,build,1678,15,0.091441
1.1.0,build,7748,69,0.406528
1.1.0,build,1818,15,0.102933
1.1.0,build,5293,48,0.308559
1.1.0,build,5849,52,0.333083
1.1.0,build,5673,48,0.321762
1.1.0,build,154,1,0.008772
1.1.0,build,232,1,0.012471
1.1.0,build,4961,46,0.283682
1.1.0,build,3308,29,0.194947
1.1.0,build,1036,9,0.060636
1.1.0,build,8461,78,0.478535
1.1.0,build,371,2,0.019534
1.1.0,build,3755,34,0.210906
1.1.0,build,1266,11,0.076287
1.1.0,build,3153,26,0.189098
1.1.0,build,12684,117,0.721595
1.1.0,build,1758,17,0.100473
1.1.0,build,186,1,0.010039
1.1.0,build,1142,9,0.063695
1.1.0,build,595,6,0.035737
1.1.0,build,6012,57,0.35007
1.1.0,build,4593,42,0.253558
1.1.0,build,380,3,0.025965
1.1.0,build,17163,158,1.006508
1.1.0,build,5231,48,0.296966
1.1.0,build,4465,40,0.233551
1.1.0,build,87,0,0.005041
1.1.0,build,4146,37,0.249592
1.1.0,build,1870,17,0.106352
1.1.0,build,7026,61,0.390066
1.1.0,build,1072,9,0.054566
1.1.0,build,2086,19,0.116522
1.1.0,build,1204,11,0.064953
1.1.0,build,16554,149,0.934169
1.1.0,build,2125,18,0.125879
1.1.0,build,1603,14,0.094687
1.1.0,build,89,0,0.005286
1.1.0,build,5741,50,0.32429
1.1.0,build,4200,39,0.242236
1.1.0,build,6812,59,0.385139
1.1.0,build,1862,17,0.109781
1.1.0,build,5095,42,0.287709
1.1.0,build,289,2,0.018067
1.1.0,build,6127,54,0.344499
1.1.0,build,1962,17,0.118734
1.1.0,build,527,4,0.030725
1.1.0,build,1179,10,0.068661
1.1.0,build,18531,168,1.063311
1.1.0,build,89,0,0.005342
1.1.0,build,4525,40,0.252616
1.1.0,build,11729,106,0.656584
1.1.0,build,3179,26,0.168948
1.1.0,build,1202,9,0.062913
1.1.0,build,3061,26,0.172791
1.1.0,build,1122,9,0.062784
1.1.0,build,955,8,0.054468
1.1.0,build,3236,27,0.208279
1.1.0,build,1723,16,0.099944
1.1.0,build,6834,61,0.401451
1.1.0,build,3937,36,0.228621
1.1.0,build,9254,81,0.515296
1.1.0,build,2380,21,0.142933
1.1.0,build,2888,25,0.158524
1.1.0,build,7685,66,0.447156
1.1.0,build,9916,91,0.550673
1.1.0,build,1131,10,0.060245
1.1.0,build,3818,35,0.232417
1.1.0,build,186,1,0.010174
1.1.0,build,2663,24,0.149689
1.1.0,build,737,6,0.044904
1.1.0,build,1154,9,0.068944
1.1.0,build,6117,50,0.341519
1.1.0,build,230,1,0.016862
1.1.0,build,311,2,0.02359
1.1.0,build,2943,26,0.169112
1.1.0,build,7115,66,0.402654
1.1.0,build,4083,34,0.239047
1.1.0,build,3024,25,0.165537
1.1.0,build,1530,13,0.07819
1.1.0,build,1298,11,0.078097
1.1.0,build,3832,37,0.213807
1.1.0,build,224,1,0.013457
1.1.0,build,1857,16,0.097838
1.1.0,build,6990,61,0.396534
1.1.0,build,10478,95,0.579846
1.1.0,build,5284,47,0.286909
1.1.0,build,21189,186,1.194388
1.1.0,build,2294,21,0.139795
1.1.0,build,3041,28,0.16952
1.1.0,build,17445,154,0.973205
1.1.0,build,190,1,0.010536
1.1.0,build,1793,16,0.104707
1.1.0,build,1584,13,0.092969
1.1.0,build,1734,15,0.101571
1.1.0,build,5339,48,0.315465
1.1.0,build,1653,14,0.084587
1.1.0,build,6355,58,0.365645
1.1.0,build,1939,18,0.110974
1.1.0,build,21984,199,1.263772
1.1.0,build,1501,12,0.089922
1.1.0,build,95,0,0.006025
1.1.0,build,1135,10,0.064862
1.1.0,build,3232,29,0.171411
1.1.0,build,2310,21,0.136496
1.1.0,build,5608,51,0.310985
1.1.0,build,2456,21,0.131847
1.1.0,build,89,0,0.005164
1.1.0,build,4129,38,0.228296
1.1.0,build,7568,67,0.455483
1.1.0,build,2870,25,0.155382
1.1.0,build,4812,41,0.26515
1.1.0,build,4302,39,0.230792
1.1.0,build,14558,131,0.811563
1.1.0,build,8320,75,0.492984
1.1.0,build,12747,116,0.728989
1.1.0,build,1026,9,0.053917
1.1.0,build,11802,105,0.670149
1.1.0,build,2826,25,0.168688
1.1.0,build,329,2,0.01735
1.1.0,build,2548,23,0.147044
1.1.0,build,4088,35,0.246609
1.1.0,build,6673,62,0.391235
1.1.0,build,9213,86,0.522126
1.1.0,build,3842,33,0.217458
1.1.0,build,2689,24,0.147821
1.1.0,build,7709,70,0.451499
1.1.0,build,2105,18,0.126841
1.1.0,build,849,8,0.050682
1.1.0,build,1821,16,0.10353
1.1.0,build,11089,104,0.624589
1.1.0,build,888,7,0.05204
1.1.0,build,7634,71,0.436963
1.1.0,build,10583,94,0.573819
1.1.0,build,1573,14,0.103926
1.1.0,build,13122,117,0.721196
1.1.0,build,8678,77,0.481922
1.1.0,build,9773,86,0.571908
1.1.0,build,4666,39,0.258645
1.1.0,build,4598,39,0.253509
1.1.0,build,8064,73,0.452966
1.1.0,build,2576,23,0.139413
1.1.0,build,1375,12,0.077449
1.1.0,build,612,5,0.037816
1.1.0,build,3607,30,0.202354
1.1.0,build,2750,25,0.147953
1.1.0,build,3763,36,0.213313
1.1.0,build,7065,68,0.387383
1.1.0,build,1316,11,0.070071
1.1.0,build,652,5,0.039125
1.1.0,build,6874,59,0.38202
1.1.0,build,4054,37,0.231269
1.1.0,build,4074,37,0.226676
1.1.0,build,2316,19,0.124536
1.1.0,build,6852,61,0.389579
1.1.0,build,6123,56,0.358272
1.1.0,build,7725,68,0.427894
1.1.0,build,4776,43,0.276684
1.1.0,build,432,3,0.022816
1.1.0,build,2187,18,0.122483
1.1.0,build,962,7,0.058341
1.1.0,build,2277,20,0.129637
1.1.0,build,4278,39,0.247834
1.1.0,build,4893,44,0.265974
1.1.0,build,1251,12,0.082809
1.1.0,build,6273,54,0.353712
1.1.0,build,402,3,0.025554
1.1.0,build,8022,71,0.42473
1.1.0,build,6518,59,0.360456
1.1.0,build,259,2,0.019714
1.1.0,build,1672,15,0.099879
1.1.0,build,4504,41,0.252774
1.1.0,build,16742,153,0.942022
1.1.0,build,715,6,0.037684
1.1.0,build,7799,72,0.461956
1.1.0,build,5275,46,0.302201
1.1.0,build,1532,13,0.078569
1.1.0,build,3747,34,0.220079
1.1.0,build,2076,17,0.131161
1.1.0,build,9834,89,0.538667
1.1.0,build,4670,41,0.263047
1.1.0,build,1691,16,0.106194
1.1.0,build,23193,208,1.31959
1.1.0,build,376,3,0.026829
1.1.0,build,11823,112,0.66478
1.1.0,build,1716,15,0.1016
1.1.0,build,9104,81,0.534324
1.1.0,build,5402,49,0.314987
1.1.0,build,3322,29,0.197733
1.1.0,build,6272,55,0.353459
1.1.0,build,3213,30,0.178476
1.1.0,build,21826,197,1.236369
1.1.0,build,3832,33,0.238722
1.1.0,build,535,4,0.028689
1.1.0,build,10266,97,0.604025
1.1.0,build,14666,131,0.847536
1.1.0,build,4309,36,0.229864
1.1.0,build,3472,33,0.209911
1.1.0,build,2190,19,0.125001
1.1.0,build,8047,74,0.451965
1.1.0,build,4790,43,0.264969
1.1.0,build,4002,37,0.224679
1.1.0,build,4173,38,0.252925
1.1.0,build,19855,190,1.145624
1.1.0,build,6628,59,0.360958
1.1.0,build,3395,32,0.195289
1.1.0,build,4807,44,0.273726
1.1.0,build,5032,43,0.278051
1.1.0,build,93,0,0.005639
1.1.0,build,2337,20,0.131063
1.1.0,build,5044,45,0.276623
1.1.0,build,7931,70,0.450935
1.1.0,build,8989,80,0.513421
1.1.0,build,10505,94,0.594402
1.1.0,build,387,2,0.02004
1.1.0,build,8211,76,0.459676
1.1.0,build,2494,23,0.153167
1.1.0,build,7861,74,0.453726
1.1.0,build,676,5,0.04652
1.1.0,build,5332,47,0.304587
1.1.0,build,4197,36,0.237636
1.1.0,build,5501,52,0.317486
1.1.0,build,2695,22,0.157084
1.1.0,build,932,9,0.0506
1.1.0,build,3827,34,0.226158
1.1.0,build,951,8,0.057014
1.1.0,build,2982,27,0.165831
1.1.0,build,5549,48,0.32073
1.1.0,build,8247,76,0.460865
1.1.0,build,2838,27,0.164991
1.1.0,build,10770,97,0.607706
1.1.0,build,7694,67,0.437661
1.1.0,build,2760,27,0.161617
1.1.0,build,6086,53,0.350367
1.1.0,build,868,7,0.054473
1.1.0,build,7835,70,0.464365
1.1.0,build,3462,29,0.193518
1.1.0,build,1473,12,0.084455
1.1.0,build,559,4,0.034588
1.1.0,build,3074,25,0.173702
1.1.0,build,3557,32,0.216169
1.1.0,build,1828,15,0.103175
1.1.0,build,8850,79,0.48269
1.1.0,build,1164,9,0.069679
1.1.0,build,1483,12,0.080673
1.1.0,build,4274,37,0.253058
1.1.0,build,6675,62,0.3766
1.1.0,build,745,6,0.049845
1.1.0,build,4842,43,0.260548
1.1.0,build,1577,12,0.079093
1.1.0,build,2170,17,0.124351
1.1.0,build,2962,25,0.163658
1.1.0,build,5426,47,0.287507
1.1.0,build,3851,34,0.212316
1.1.0,build,15658,143,0.917557
1.1.0,build,2466,21,0.143494
1.1.0,build,17811,160,1.006622
1.1.0,build,2147,20,0.117879
1.1.0,build,5271,48,0.302284
1.1.0,build,2902,27,0.16845
1.1.0,build,5579,52,0.320432
1.1.0,build,5889,56,0.34733
1.1.0,build,13938,123,0.770174
1.1.0,build,7594,69,0.43931
1.1.0,build,2562,23,0.145558
1.1.0,build,1027,8,0.063637
1.1.0,build,14597,132,0.808377
1.1.0,build,1516,13,0.085175
1.1.0,build,1390,11,0.076249
1.1.0,build,3058,27,0.179082
1.1.0,build,4137,40,0.229883
1.1.0,build,2027,20,0.117563
1.1.0,build,3880,35,0.20564
1.1.0,build,2123,18,0.116508
1.1.0,solve,14175,216,0.550222
1.1.0,solve,5872,97,0.23107
1.1.0,solve,23264,359,0.910325
1.1.0,solve,33217,538,1.287818
1.1.0,solve,1288,23,0.053709
1.1.0,solve,5139,78,0.210736
1.1.0,solve,8446,141,0.334592
1.1.0,solve,1847,24,0.069733
1.1.0,solve,60811,962,2.315748
1.1.0,solve,7628,121,0.303838
1.1.0,solve,15775,246,0.60042
1.1.0,solve,42334,669,1.630054
1.1.0,solve,1331,16,0.054066
1.1.0,solve,8659,144,0.365331
1.1.0,solve,39872,621,1.540084
1.1.0,solve,18786,299,0.724324
1.1.0,solve,27223,404,1.042165
1.1.0,solve,13852,219,0.564573
1.1.0,solve,1508,21,0.064868
1.1.0,solve,25292,407,1.003636
1.1.0,solve,22415,338,0.868394
1.1.0,solve,458,5,0.022648
1.1.0,solve,10575,164,0.405911
1.1.0,solve,14110,229,0.563177
1.1.0,solve,9706,155,0.377456
1.1.0,solve,22771,356,0.875914
1.1.0,solve,22980,365,0.901456
1.1.0,solve,19577,314,0.759423
1.1.0,solve,99336,1573,3.848273
1.1.0,solve,4571,82,0.196511
1.1.0,solve,4591,70,0.184323
1.1.0,solve,30903,476,1.185789
1.1.0,solve,19842,333,0.773302
1.1.0,solve,49223,780,1.925821
1.1.0,solve,2351,36,0.095015
1.1.0,solve,47849,724,1.812763
1.1.0,solve,3036,53,0.132336
1.1.0,solve,41405,628,1.618723
1.1.0,solve,16563,260,0.63759
1.1.0,solve,19808,313,0.769653
1.1.0,solve,4773,78,0.204837
1.1.0,solve,11350,185,0.448908
1.1.0,solve,5823,92,0.233718
1.1.0,solve,9947,162,0.387929
1.1.0,solve,49155,756,1.887818
1.1.0,solve,12250,199,0.485423
1.1.0,solve,30877,486,1.1547
1.1.0,solve,9225,148,0.344176
1.1.0,solve,6785,108,0.268175
1.1.0,solve,1923,30,0.075143
1.1.0,solve,24476,385,0.930914
1.1.0,solve,10750,177,0.402844
1.1.0,solve,36820,591,1.459028
1.1.0,solve,2594,39,0.102602
1.1.0,solve,12618,195,0.480308
1.1.0,solve,303,4,0.011812
1.1.0,solve,36932,595,1.426179
1.1.0,solve,1957,28,0.075496
1.1.0,solve,19566,319,0.743255
1.1.0,solve,3910,61,0.154008
1.1.0,solve,16775,260,0.657992
1.1.0,solve,81,0,0.002009
1.1.0,solve,23351,354,0.87168
1.1.0,solve,1053,18,0.038329
1.1.0,solve,47177,752,1.909743
1.1.0,solve,41439,638,1.707263
1.1.0,solve,8525,140,0.351729
1.1.0,solve,3842,53,0.14009
1.1.0,solve,42511,670,1.649347
1.1.0,solve,9061,140,0.367604
1.1.0,solve,37834,591,1.565251
1.1.0,solve,4493,76,0.187714
1.1.0,solve,37217,574,1.49666
1.1.0,solve,16244,261,0.652463
1.1.0,solve,34674,567,1.386528
1.1.0,solve,6810,105,0.258664
1.1.0,solve,7564,123,0.291611
1.1.0,solve,65619,1046,2.524377
1.1.0,solve,2607,42,0.115308
1.1.0,solve,3958,65,0.166472
1.1.0,solve,38657,610,1.547019
1.1.0,solve,7960,119,0.331886
1.1.0,solve,34033,530,1.328281
1.1.0,solve,23955,382,0.940515
1.1.0,solve,31108,489,1.212326
1.1.0,solve,24984,407,0.955315
1.1.0,solve,23218,361,0.895247
1.1.0,solve,18812,285,0.731356
1.1.0,solve,10172,159,0.389621
1.1.0,solve,10827,162,0.417784
1.1.0,solve,53401,842,2.111175
1.1.0,solve,3003,44,0.113872
1.1.0,solve,22316,333,0.867089
1.1.0,solve,66618,1035,2.576318
1.1.0,solve,11043,172,0.432017
1.1.0,solve,36197,540,1.403942
1.1.0,solve,12026,197,0.464311
1.1.0,solve,20732,325,0.801674
1.1.0,solve,65091,1036,2.507244
1.1.0,solve,10014,159,0.35723
1.1.0,solve,12746,193,0.485849
1.1.0,solve,42220,671,1.670868
1.1.0,solve,23798,379,0.914647
1.1.0,solve,3231,50,0.120138
1.1.0,solve,81,0,0.002054
1.1.0,solve,20661,334,0.813959
1.1.0,solve,13294,205,0.507657
1.1.0,solve,31190,483,1.209683
1.1.0,solve,25663,400,0.960757
1.1.0,solve,47917,760,1.881245
1.1.0,solve,2969,42,0.116812
1.1.0,solve,45311,722,1.762781
1.1.0,solve,19075,298,0.753257
1.1.0,solve,12317,178,0.506382
1.1.0,solve,6559,98,0.24671
1.1.0,solve,38093,608,1.486923
1.1.0,solve,5809,86,0.23213
1.1.0,solve,10598,175,0.407847
1.1.0,solve,10326,157,0.406463
1.1.0,solve,42331,684,1.643501
1.1.0,solve,20223,314,0.760917
1.1.0,solve,14871,232,0.558657
1.1.0,solve,3945,60,0.144088
1.1.0,solve,20382,313,0.770095
1.1.0,solve,58228,927,2.259946
1.1.0,solve,29280,469,1.14727
1.1.0,solve,54456,857,2.097229
1.1.0,solve,7226,109,0.269288
1.1.0,solve,24805,380,0.955526
1.1.0,solve,29484,457,1.113189
1.1.0,solve,38175,598,1.476726
1.1.0,solve,6411,100,0.261664
1.1.0,solve,2988,45,0.112478
1.1.0,solve,28941,432,1.142738
1.1.0,solve,12411,190,0.54773
1.1.0,solve,1229,18,0.049804
1.1.0,solve,7089,112,0.276227
1.1.0,solve,26287,434,0.976221
1.1.0,solve,14147,234,0.528066
1.1.0,solve,46570,725,1.699995
1.1.0,solve,16966,257,0.637037
1.1.0,solve,845,14,0.037395
1.1.0,solve,6331,98,0.237795
1.1.0,solve,7487,130,0.312293
1.1.0,solve,40942,633,1.569562
1.1.0,solve,23966,383,0.920231
1.1.0,solve,1103,20,0.053362
1.1.0,solve,2626,41,0.106461
1.1.0,solve,57101,866,2.18042
1.1.0,solve,81,0,0.001982
1.1.0,solve,13033,206,0.490366
1.1.0,solve,1366,21,0.053771
1.1.0,solve,2424,37,0.090465
1.1.0,solve,45275,722,1.742217
1.1.0,solve,4456,63,0.180185
1.1.0,solve,40944,615,1.596067
1.1.0,solve,15740,231,0.586791
1.1.0,solve,8743,142,0.329635
1.1.0,solve,10596,163,0.392279
1.1.0,solve,11384,183,0.432658
1.1.0,solve,11213,176,0.467693
1.1.0,solve,1228,21,0.04583
1.1.0,solve,36964,585,1.443367
1.1.0,solve,3579,58,0.139091
1.1.0,solve,19838,297,0.76717
1.1.0,solve,8082,133,0.322906
1.1.0,solve,17490,273,0.659935
1.1.0,solve,18164,281,0.713476
1.1.0,solve,32154,503,1.255505
1.1.0,solve,28558,453,1.08934
1.1.0,solve,14654,229,0.572868
1.1.0,solve,28879,450,1.085049
1.1.0,solve,51418,801,1.979975
1.1.0,solve,29880,457,1.140845
1.1.0,solve,89620,1423,3.460787
1.1.0,solve,12690,199,0.500811
1.1.0,solve,42402,665,1.64842
1.1.0,solve,17272,285,0.643752
1.1.0,solve,9187,142,0.34088
1.1.0,solve,82812,1311,2.976018
1.1.0,solve,1952,29,0.079558
1.1.0,solve,4829,72,0.167198
1.1.0,solve,24162,375,0.891377
1.1.0,solve,677,8,0.027853
1.1.0,solve,10078,155,0.395034
1.1.0,solve,11071,186,0.409609
1.1.0,solve,29862,463,1.160843
1.1.0,solve,657,8,0.026087
1.1.0,solve,56240,891,2.135595
1.1.0,solve,19154,299,0.749032
1.1.0,solve,12974,209,0.502172
1.1.0,solve,15443,244,0.580443
1.1.0,solve,5540,81,0.210505
1.1.0,solve,4430,67,0.167215
1.1.0,solve,28172,463,1.090322
1.1.0,solve,20135,294,0.753866
1.1.0,solve,1935,32,0.075378
1.1.0,solve,8504,129,0.318036
1.1.0,solve,16364,253,0.651642
1.1.0,solve,66328,1037,2.563864
1.1.0,solve,57772,913,2.243243
1.1.0,solve,10786,163,0.405345
1.1.0,solve,81,0,0.002101
1.1.0,solve,10567,166,0.43233
1.1.0,solve,9412,149,0.356673
1.1.0,solve,2739,46,0.109962
1.1.0,solve,47800,769,1.826256
1.1.0,solve,2625,38,0.104156
1.1.0,solve,16496,271,0.658988
1.1.0,solve,46030,709,1.783679
1.1.0,solve,26031,414,1.017279
1.1.0,solve,24701,390,0.933347
1.1.0,solve,22513,358,0.825769
1.1.0,solve,13549,206,0.53125
1.1.0,solve,6407,102,0.242931
1.1.0,solve,19544,315,0.778391
1.1.0,solve,1926,29,0.084545
1.1.0,solve,4048,63,0.14877
1.1.0,solve,21113,328,0.809194
1.1.0,solve,3529,54,0.124134
1.1.0,solve,33546,539,1.297825
1.1.0,solve,26384,407,1.01603
1.1.0,solve,3237,50,0.128162
1.1.0,solve,20120,307,0.769369
1.1.0,solve,23905,384,0.924294
1.1.0,solve,4771,74,0.189931
1.1.0,solve,4471,74,0.17264
1.1.0,solve,2040,35,0.087093
1.1.0,solve,1141,18,0.047121
1.1.0,solve,1073,16,0.044036
1.1.0,solve,17673,280,0.680262
1.1.0,solve,10737,172,0.443949
1.1.0,solve,21131,344,0.822388
1.1.0,solve,26236,421,0.994903
1.1.0,solve,41246,649,1.599385
1.1.0,solve,3612,55,0.132567
1.1.0,solve,35095,564,1.360785
1.1.0,solve,4292,63,0.163145
1.1.0,solve,14534,229,0.543185
1.1.0,solve,52839,838,2.044511
1.1.0,solve,20790,331,0.791733
1.1.0,solve,25486,393,0.984747
1.1.0,solve,6181,96,0.238909
1.1.0,solve,3352,49,0.120474
1.1.0,solve,1402,19,0.050409
1.1.0,solve,13984,225,0.544826
1.1.0,solve,10255,158,0.386699
1.1.0,solve,16162,257,0.60107
1.1.0,solve,11439,174,0.421594
1.1.0,solve,65159,1002,2.665705
1.1.0,solve,2421,40,0.094108
1.1.0,solve,4884,75,0.195792
1.1.0,solve,29857,460,1.127135
1.1.0,solve,14760,225,0.563684
1.1.0,solve,1677,26,0.05881
1.1.0,solve,8104,123,0.299367
1.1.0,solve,13901,220,0.54609
1.1.0,solve,389,4,0.013648
1.1.0,solve,12201,204,0.462124
1.1.0,solve,5425,88,0.210044
1.1.0,solve,21817,322,0.83917
1.1.0,solve,25378,393,0.991918
1.1.0,solve,3744,57,0.142912
1.1.0,solve,34730,547,1.330536
1.1.0,solve,48872,763,1.894907
1.1.0,solve,30037,482,1.164703
1.1.0,solve,1068,15,0.043727
1.1.0,solve,162,1,0.00679
1.1.0,solve,1249,20,0.050565
1.1.0,solve,3531,52,0.129824
1.1.0,solve,3240,51,0.135105
1.1.0,solve,410,5,0.015379
1.1.0,solve,16569,262,0.647322
1.1.0,solve,35371,548,1.361218
1.1.0,solve,69752,1115,2.718921
1.1.0,solve,336,3,0.016763
1.1.0,solve,6185,90,0.2548
1.1.0,solve,94419,1498,3.716129
1.1.0,solve,9065,144,0.344521
1.1.0,solve,18952,289,0.739232
1.1.0,solve,119113,1854,4.611428
1.1.0,solve,147,2,0.006961
1.1.0,solve,7927,120,0.310526
1.1.0,solve,1028,19,0.040192
1.1.0,solve,24842,387,0.96135
1.1.0,solve,6974,109,0.269595
1.1.0,solve,38365,606,1.516785
1.1.0,solve,12480,193,0.475681
1.1.0,solve,20927,324,0.798304
1.1.0,solve,16421,252,0.635149
1.1.0,solve,49298,753,1.929384
1.1.0,solve,22085,334,0.870881
1.1.0,solve,4638,77,0.185828
1.1.0,solve,8214,127,0.317774
1.1.0,solve,1585,28,0.069157
1.1.0,solve,3605,58,0.15454
1.1.0,solve,19421,318,0.77394
1.1.0,solve,3142,53,0.137794
1.1.0,solve,17449,266,0.685246
